time,disloc_density_0,disloc_density_1,disloc_density_10,disloc_density_11,disloc_density_2,disloc_density_3,disloc_density_4,disloc_density_5,disloc_density_6,disloc_density_7,disloc_density_8,disloc_density_9,disp_y,fp_yy,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,stress_vm,stress_yy,total_twin_volume_fraction
0.00020625,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.0567427395338e-05,1.0000002421677,0.020779783755627,0,0,-0.020779783589421,-0.020779783600541,-0.020779783597915,0,-0.020779783586125,-0.020779783579667,0,-0.020779783590038,0.020779783788213,3000.1592807536,3000.1592807561,0
0.00020875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.1301578030534e-05,1.0000008136652,0.069993806465477,0,0,-0.069993804854059,-0.069993804937229,-0.069993804908238,0,-0.069993804774751,-0.069993804780076,0,-0.069993804906347,0.069993806704498,3038.1261742499,3038.1261742513,0
0.00021125,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.2035728666753e-05,1.000002699379,0.23095120940986,0,0,-0.23095116798475,-0.23095116219551,-0.23095116352852,0,-0.23095116539201,-0.23095116862438,0,-0.23095116121886,0.23095121039714,3075.9296645612,3075.9296646354,0
0.00021375,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.2769879324952e-05,1.0000087164612,0.73693270098333,0,0,-0.73693014945183,-0.73693022401761,-0.73693021648901,0,-0.73693022314226,-0.73693029792344,0,-0.73693016975409,0.73693275373867,3113.1297958361,3113.1297980469,0
0.00021625,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.3504030433029e-05,1.0000266344323,2.1944389196491,0,0,-2.1943052846805,-2.1943037542585,-2.1943041479415,0,-2.1943033656254,-2.1943052565046,0,-2.1943031005019,2.1944386159918,3148.5114041637,3148.5114449068,0
0.00021875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.4238180603487e-05,1.0000728775078,5.6631883639328,0,0,-5.6631807890352,-5.6631810226964,-5.6631809485365,0,-5.6631810523314,-5.6631809508958,0,-5.6631810122821,5.6631884307789,3179.501422252,3179.5014223619,0
0.00022125,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.4972331246323e-05,1.0001677213864,11.614013985399,0,0,-11.613991795808,-11.6139917454,-11.613992163623,0,-11.613991230308,-11.613991918571,0,-11.613991286985,11.614013853119,3202.9157011361,3202.9157015489,0
0.00022375,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.5706481888088e-05,1.0003189864775,18.520218410092,0,0,-18.520173406215,-18.520173602528,-18.520174427194,0,-18.520172576551,-18.52017399248,0,-18.52017271421,18.520218159287,3217.5145897367,3217.5145902542,0
0.00022625,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.6440632526941e-05,1.0005177297679,24.328400750807,0,0,-24.328347403259,-24.328347760623,-24.328348720097,0,-24.328346610704,-24.328348243529,0,-24.328346778392,24.328400455283,3224.6874655785,3224.6874660149,0
0.00023125,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,6.7908933837327e-05,1.0009899610629,28.889569773627,0,0,-28.889435347079,-28.889437424043,-28.889439879254,0,-28.88943467284,-28.889439150562,0,-28.88943546021,28.889568913872,3227.3391572342,3227.3391583451,0
